,CallCountsPerHour,,,,,,,,,,,,,,,,
697,49,,,,,,,,,,,,,,,,
698,59,,,,,,,,,,,,,,,,
699,57,,,,,,,,,,,,,,,,
700,60,,,,,,,,,,,,,,,,
701,67,,,,,,,,,,,,,,,,
702,63,,,,,,,,,,,,,,,,
703,49,,,,,,,,,,,,,,,,
704,61,,,,,,,,,,,,,,,,
705,69,,,,,,,,,,,,,,,,
706,60,,,,,,,,,,,,,,,,
707,70,,,,,,,,,,,,,,,,
708,59,,,,,,,,,,,,,,,,
709,67,,,,,,,,,,,,,,,,
710,42,,,,,,,,,,,,,,,,
711,54,,,,,,,,,,,,,,,,
712,54,,,,,,,,,,,,,,,,
713,62,,,,,,,,,,,,,,,,
714,57,,,,,,,,,,,,,,,,
715,49,,,,,,,,,,,,,,,,
716,53,,,,,,,,,,,,,,,,
717,63,,,,,,,,,,,,,,,,
718,44,,,,,,,,,,,,,,,,
719,62,,,,,,,,,,,,,,,,
720,59,,,,,,,,,,,,,,,,
721,61,,,,,,,,,,,,,,,,
722,50,,,,,,,,,,,,,,,,
723,41,,,,,,,,,,,,,,,,
724,73,,,,,,,,,,,,,,,,
725,56,,,,,,,,,,,,,,,,
726,62,,,,,,,,,,,,,,,,
727,67,,,,,,,,,,,,,,,,
728,65,,,,,,,,,,,,,,,,
729,35,,,,,,,,,,,,,,,,
730,71,,,,,,,,,,,,,,,,
731,48,,,,,,,,,,,,,,,,
732,53,,,,,,,,,,,,,,,,
733,61,,,,,,,,,,,,,,,,
734,46,,,,,,,,,,,,,,,,
735,53,,,,,,,,,,,,,,,,
736,77,,,,,,,,,,,,,,,,
737,59,,,,,,,,,,,,,,,,
738,63,,,,,,,,,,,,,,,,
739,62,,,,,,,,,,,,,,,,
740,73,,,,,,,,,,,,,,,,
741,63,,,,,,,,,,,,,,,,
742,50,,,,,,,,,,,,,,,,
743,56,,,,,,,,,,,,,,,,
744,63,,,,,,,,,,,,,,,,
745,59,,,,,,,,,,,,,,,,
746,55,,,,,,,,,,,,,,,,
747,63,,,,,,,,,,,,,,,,
748,51,,,,,,,,,,,,,,,,
749,48,,,,,,,,,,,,,,,,
750,50,,,,,,,,,,,,,,,,
751,39,,,,,,,,,,,,,,,,
752,58,,,,,,,,,,,,,,,,
753,59,,,,,,,,,,,,,,,,
754,64,,,,,,,,,,,,,,,,
755,55,,,,,,,,,,,,,,,,
756,46,,,,,,,,,,,,,,,,
757,48,,,,,,,,,,,,,,,,
758,73,,,,,,,,,,,,,,,,
759,61,,,,,,,,,,,,,,,,
760,56,,,,,,,,,,,,,,,,
761,71,,,,,,,,,,,,,,,,
762,48,,,,,,,,,,,,,,,,
763,62,,,,,,,,,,,,,,,,
764,62,,,,,,,,,,,,,,,,
765,67,,,,,,,,,,,,,,,,
766,44,,,,,,,,,,,,,,,,
767,58,,,,,,,,,,,,,,,,
768,36,,,,,,,,,,,,,,,,
769,56,,,,,,,,,,,,,,,,
770,53,,,,,,,,,,,,,,,,
771,47,,,,,,,,,,,,,,,,
772,59,,,,,,,,,,,,,,,,
773,54,,,,,,,,,,,,,,,,
774,78,,,,,,,,,,,,,,,,
775,65,,,,,,,,,,,,,,,,
776,52,,,,,,,,,,,,,,,,
777,55,,,,,,,,,,,,,,,,
778,53,,,,,,,,,,,,,,,,
779,50,,,,,,,,,,,,,,,,
780,67,,,,,,,,,,,,,,,,
781,56,,,,,,,,,,,,,,,,
782,59,,,,,,,,,,,,,,,,
783,70,,,,,,,,,,,,,,,,
784,62,,,,,,,,,,,,,,,,
785,66,,,,,,,,,,,,,,,,
786,58,,,,,,,,,,,,,,,,
787,69,,,,,,,,,,,,,,,,
788,59,,,,,,,,,,,,,,,,
789,59,,,,,,,,,,,,,,,,
790,70,,,,,,,,,,,,,,,,
791,66,,,,,,,,,,,,,,,,
792,64,,,,,,,,,,,,,,,,
793,47,,,,,,,,,,,,,,,,
794,52,,,,,,,,,,,,,,,,
795,73,,,,,,,,,,,,,,,,
796,59,,,,,,,,,,,,,,,,
797,61,,,,,,,,,,,,,,,,
798,70,,,,,,,,,,,,,,,,
799,47,,,,,,,,,,,,,,,,
800,54,,,,,,,,,,,,,,,,
801,59,,,,,,,,,,,,,,,,
802,47,,,,,,,,,,,,,,,,
803,68,,,,,,,,,,,,,,,,
804,58,,,,,,,,,,,,,,,,
805,57,,,,,,,,,,,,,,,,
806,75,,,,,,,,,,,,,,,,
807,55,,,,,,,,,,,,,,,,
808,65,,,,,,,,,,,,,,,,
809,53,,,,,,,,,,,,,,,,
810,62,,,,,,,,,,,,,,,,
811,47,,,,,,,,,,,,,,,,
812,54,,,,,,,,,,,,,,,,
813,63,,,,,,,,,,,,,,,,
814,61,,,,,,,,,,,,,,,,
815,72,,,,,,,,,,,,,,,,
816,60,,,,,,,,,,,,,,,,
817,80,,,,,,,,,,,,,,,,
818,74,,,,,,,,,,,,,,,,
819,61,,,,,,,,,,,,,,,,
820,59,,,,,,,,,,,,,,,,
821,53,,,,,,,,,,,,,,,,
822,61,,,,,,,,,,,,,,,,
823,64,,,,,,,,,,,,,,,,
824,59,,,,,,,,,,,,,,,,
825,56,,,,,,,,,,,,,,,,
826,74,,,,,,,,,,,,,,,,
827,57,,,,,,,,,,,,,,,,
828,66,,,,,,,,,,,,,,,,
829,65,,,,,,,,,,,,,,,,
830,64,,,,,,,,,,,,,,,,
831,59,,,,,,,,,,,,,,,,
832,61,,,,,,,,,,,,,,,,
833,37,,,,,,,,,,,,,,,,
834,65,,,,,,,,,,,,,,,,
835,46,,,,,,,,,,,,,,,,
836,40,,,,,,,,,,,,,,,,
837,59,,,,,,,,,,,,,,,,
838,61,,,,,,,,,,,,,,,,
839,68,,,,,,,,,,,,,,,,
840,54,,,,,,,,,,,,,,,,
841,72,,,,,,,,,,,,,,,,
842,65,,,,,,,,,,,,,,,,
843,47,,,,,,,,,,,,,,,,
844,52,,,,,,,,,,,,,,,,
845,67,,,,,,,,,,,,,,,,
846,54,,,,,,,,,,,,,,,,
847,62,,,,,,,,,,,,,,,,
848,49,,,,,,,,,,,,,,,,
849,51,,,,,,,,,,,,,,,,
850,59,,,,,,,,,,,,,,,,
851,53,,,,,,,,,,,,,,,,
852,64,,,,,,,,,,,,,,,,
853,62,,,,,,,,,,,,,,,,
854,59,,,,,,,,,,,,,,,,
855,52,,,,,,,,,,,,,,,,
856,81,,,,,,,,,,,,,,,,
857,60,,,,,,,,,,,,,,,,
858,59,,,,,,,,,,,,,,,,
859,55,,,,,,,,,,,,,,,,
860,58,,,,,,,,,,,,,,,,
861,68,,,,,,,,,,,,,,,,
862,52,,,,,,,,,,,,,,,,
863,64,,,,,,,,,,,,,,,,
864,59,,,,,,,,,,,,,,,,
865,64,,,,,,,,,,,,,,,,
866,60,,,,,,,,,,,,,,,,
867,65,,,,,,,,,,,,,,,,
868,60,,,,,,,,,,,,,,,,
869,52,,,,,,,,,,,,,,,,
870,60,,,,,,,,,,,,,,,,
871,56,,,,,,,,,,,,,,,,
872,55,,,,,,,,,,,,,,,,
873,63,,,,,,,,,,,,,,,,
874,55,,,,,,,,,,,,,,,,
875,74,,,,,,,,,,,,,,,,
876,58,,,,,,,,,,,,,,,,
877,68,,,,,,,,,,,,,,,,
878,71,,,,,,,,,,,,,,,,
879,74,,,,,,,,,,,,,,,,
880,64,,,,,,,,,,,,,,,,
881,46,,,,,,,,,,,,,,,,
882,58,,,,,,,,,,,,,,,,
883,77,,,,,,,,,,,,,,,,
884,65,,,,,,,,,,,,,,,,
885,58,,,,,,,,,,,,,,,,
886,55,,,,,,,,,,,,,,,,
887,52,,,,,,,,,,,,,,,,
888,57,,,,,,,,,,,,,,,,
889,67,,,,,,,,,,,,,,,,
890,66,,,,,,,,,,,,,,,,
891,84,,,,,,,,,,,,,,,,
892,78,,,,,,,,,,,,,,,,
893,68,,,,,,,,,,,,,,,,
894,54,,,,,,,,,,,,,,,,
895,75,,,,,,,,,,,,,,,,
896,49,,,,,,,,,,,,,,,,
897,68,,,,,,,,,,,,,,,,
898,73,,,,,,,,,,,,,,,,
899,69,,,,,,,,,,,,,,,,
900,71,,,,,,,,,,,,,,,,
901,61,,,,,,,,,,,,,,,,
902,57,,,,,,,,,,,,,,,,
903,78,,,,,,,,,,,,,,,,
904,57,,,,,,,,,,,,,,,,
905,54,,,,,,,,,,,,,,,,
906,81,,,,,,,,,,,,,,,,
907,51,,,,,,,,,,,,,,,,
908,70,,,,,,,,,,,,,,,,
909,58,,,,,,,,,,,,,,,,
910,71,,,,,,,,,,,,,,,,
911,56,,,,,,,,,,,,,,,,
912,60,,,,,,,,,,,,,,,,
913,68,,,,,,,,,,,,,,,,
914,48,,,,,,,,,,,,,,,,
915,57,,,,,,,,,,,,,,,,
916,68,,,,,,,,,,,,,,,,
917,69,,,,,,,,,,,,,,,,
918,62,,,,,,,,,,,,,,,,
919,54,,,,,,,,,,,,,,,,
920,70,,,,,,,,,,,,,,,,
921,67,,,,,,,,,,,,,,,,
922,61,,,,,,,,,,,,,,,,
923,70,,,,,,,,,,,,,,,,
924,60,,,,,,,,,,,,,,,,
925,47,,,,,,,,,,,,,,,,
926,66,,,,,,,,,,,,,,,,
927,47,,,,,,,,,,,,,,,,
928,50,,,,,,,,,,,,,,,,
929,70,,,,,,,,,,,,,,,,
930,68,,,,,,,,,,,,,,,,
931,66,,,,,,,,,,,,,,,,
932,55,,,,,,,,,,,,,,,,
933,74,,,,,,,,,,,,,,,,
934,54,,,,,,,,,,,,,,,,
935,63,,,,,,,,,,,,,,,,
936,56,,,,,,,,,,,,,,,,
937,58,,,,,,,,,,,,,,,,
938,70,,,,,,,,,,,,,,,,
939,65,,,,,,,,,,,,,,,,
940,52,,,,,,,,,,,,,,,,
941,54,,,,,,,,,,,,,,,,
942,40,,,,,,,,,,,,,,,,
943,58,,,,,,,,,,,,,,,,
944,68,,,,,,,,,,,,,,,,
945,49,,,,,,,,,,,,,,,,
946,74,,,,,,,,,,,,,,,,
947,57,,,,,,,,,,,,,,,,
948,62,,,,,,,,,,,,,,,,
949,59,,,,,,,,,,,,,,,,
950,52,,,,,,,,,,,,,,,,
951,46,,,,,,,,,,,,,,,,
952,60,,,,,,,,,,,,,,,,
953,62,,,,,,,,,,,,,,,,
954,55,,,,,,,,,,,,,,,,
955,62,,,,,,,,,,,,,,,,
956,52,,,,,,,,,,,,,,,,
957,55,,,,,,,,,,,,,,,,
958,62,,,,,,,,,,,,,,,,
959,58,,,,,,,,,,,,,,,,
960,54,,,,,,,,,,,,,,,,
961,53,,,,,,,,,,,,,,,,
962,54,,,,,,,,,,,,,,,,
963,52,,,,,,,,,,,,,,,,
964,52,,,,,,,,,,,,,,,,
965,51,,,,,,,,,,,,,,,,
966,37,,,,,,,,,,,,,,,,
967,71,,,,,,,,,,,,,,,,
968,70,,,,,,,,,,,,,,,,
969,64,,,,,,,,,,,,,,,,
970,59,,,,,,,,,,,,,,,,
971,55,,,,,,,,,,,,,,,,
972,54,,,,,,,,,,,,,,,,
973,60,,,,,,,,,,,,,,,,
974,57,,,,,,,,,,,,,,,,
975,66,,,,,,,,,,,,,,,,
976,63,,,,,,,,,,,,,,,,
977,57,,,,,,,,,,,,,,,,
978,61,,,,,,,,,,,,,,,,
979,68,,,,,,,,,,,,,,,,
980,53,,,,,,,,,,,,,,,,
981,59,,,,,,,,,,,,,,,,
982,67,,,,,,,,,,,,,,,,
983,60,,,,,,,,,,,,,,,,
984,67,,,,,,,,,,,,,,,,
985,65,,,,,,,,,,,,,,,,
986,49,,,,,,,,,,,,,,,,
987,59,,,,,,,,,,,,,,,,
988,62,,,,,,,,,,,,,,,,
989,63,,,,,,,,,,,,,,,,
990,59,,,,,,,,,,,,,,,,
991,58,,,,,,,,,,,,,,,,
992,42,,,,,,,,,,,,,,,,
993,67,,,,,,,,,,,,,,,,
994,46,,,,,,,,,,,,,,,,
995,62,,,,,,,,,,,,,,,,
996,60,,,,,,,,,,,,,,,,
997,65,,,,,,,,,,,,,,,,
998,57,,,,,,,,,,,,,,,,
999,48,,,,,,,,,,,,,,,,
1000,42,,,,,,,,,,,,,,,,
1001,59,,,,,,,,,,,,,,,,
1002,66,,,,,,,,,,,,,,,,
1003,59,,,,,,,,,,,,,,,,
1004,77,,,,,,,,,,,,,,,,
1005,66,,,,,,,,,,,,,,,,
1006,58,,,,,,,,,,,,,,,,
1007,68,,,,,,,,,,,,,,,,
1008,69,,,,,,,,,,,,,,,,
1009,53,,,,,,,,,,,,,,,,
1010,62,,,,,,,,,,,,,,,,
1011,51,,,,,,,,,,,,,,,,
1012,71,,,,,,,,,,,,,,,,
1013,73,,,,,,,,,,,,,,,,
1014,54,,,,,,,,,,,,,,,,
1015,52,,,,,,,,,,,,,,,,
1016,57,,,,,,,,,,,,,,,,
1017,50,,,,,,,,,,,,,,,,
1018,71,,,,,,,,,,,,,,,,
1019,64,,,,,,,,,,,,,,,,
1020,45,,,,,,,,,,,,,,,,
1021,68,,,,,,,,,,,,,,,,
1022,62,,,,,,,,,,,,,,,,
1023,63,,,,,,,,,,,,,,,,
1024,59,,,,,,,,,,,,,,,,
1025,49,,,,,,,,,,,,,,,,
1026,61,,,,,,,,,,,,,,,,
1027,58,,,,,,,,,,,,,,,,
1028,54,,,,,,,,,,,,,,,,
1029,46,,,,,,,,,,,,,,,,
1030,40,,,,,,,,,,,,,,,,
1031,66,,,,,,,,,,,,,,,,
1032,69,,,,,,,,,,,,,,,,
1033,68,,,,,,,,,,,,,,,,
1034,65,,,,,,,,,,,,,,,,
1035,67,,,,,,,,,,,,,,,,
1036,56,,,,,,,,,,,,,,,,
1037,66,,,,,,,,,,,,,,,,
1038,55,,,,,,,,,,,,,,,,
1039,43,,,,,,,,,,,,,,,,
1040,56,,,,,,,,,,,,,,,,
1041,47,,,,,,,,,,,,,,,,
1042,46,,,,,,,,,,,,,,,,
1043,59,,,,,,,,,,,,,,,,
1044,63,,,,,,,,,,,,,,,,
1045,67,,,,,,,,,,,,,,,,
1046,62,,,,,,,,,,,,,,,,
1047,55,,,,,,,,,,,,,,,,
1048,46,,,,,,,,,,,,,,,,
1049,64,,,,,,,,,,,,,,,,
1050,54,,,,,,,,,,,,,,,,
1051,51,,,,,,,,,,,,,,,,
1052,59,,,,,,,,,,,,,,,,
1053,68,,,,,,,,,,,,,,,,
1054,59,,,,,,,,,,,,,,,,
1055,58,,,,,,,,,,,,,,,,
1056,67,,,,,,,,,,,,,,,,
1057,44,,,,,,,,,,,,,,,,
1058,54,,,,,,,,,,,,,,,,
1059,67,,,,,,,,,,,,,,,,
1060,55,,,,,,,,,,,,,,,,
1061,63,,,,,,,,,,,,,,,,
1062,64,,,,,,,,,,,,,,,,
1063,47,,,,,,,,,,,,,,,,
1064,63,,,,,,,,,,,,,,,,
1065,54,,,,,,,,,,,,,,,,
1066,64,,,,,,,,,,,,,,,,
1067,72,,,,,,,,,,,,,,,,
1068,52,,,,,,,,,,,,,,,,
1069,72,,,,,,,,,,,,,,,,
1070,51,,,,,,,,,,,,,,,,
1071,46,,,,,,,,,,,,,,,,
1072,67,,,,,,,,,,,,,,,,
1073,83,,,,,,,,,,,,,,,,
1074,68,,,,,,,,,,,,,,,,
1075,55,,,,,,,,,,,,,,,,
1076,60,,,,,,,,,,,,,,,,
1077,59,,,,,,,,,,,,,,,,
1078,68,,,,,,,,,,,,,,,,
1079,56,,,,,,,,,,,,,,,,
1080,59,,,,,,,,,,,,,,,,
1081,54,,,,,,,,,,,,,,,,
1082,54,,,,,,,,,,,,,,,,
1083,58,,,,,,,,,,,,,,,,
1084,61,,,,,,,,,,,,,,,,
1085,57,,,,,,,,,,,,,,,,
1086,62,,,,,,,,,,,,,,,,
1087,61,,,,,,,,,,,,,,,,
1088,55,,,,,,,,,,,,,,,,
1089,67,,,,,,,,,,,,,,,,
1090,71,,,,,,,,,,,,,,,,
1091,71,,,,,,,,,,,,,,,,
1092,58,,,,,,,,,,,,,,,,
1093,75,,,,,,,,,,,,,,,,
1094,59,,,,,,,,,,,,,,,,
1095,57,,,,,,,,,,,,,,,,
1096,51,,,,,,,,,,,,,,,,
1097,45,,,,,,,,,,,,,,,,
1098,42,,,,,,,,,,,,,,,,
1099,87,,,,,,,,,,,,,,,,
1100,60,,,,,,,,,,,,,,,,
1101,54,,,,,,,,,,,,,,,,
1102,58,,,,,,,,,,,,,,,,
1103,56,,,,,,,,,,,,,,,,
1104,65,,,,,,,,,,,,,,,,
1105,66,,,,,,,,,,,,,,,,
1106,60,,,,,,,,,,,,,,,,
1107,57,,,,,,,,,,,,,,,,
1108,70,,,,,,,,,,,,,,,,
1109,47,,,,,,,,,,,,,,,,
1110,59,,,,,,,,,,,,,,,,
1111,63,,,,,,,,,,,,,,,,
1112,55,,,,,,,,,,,,,,,,
1113,60,,,,,,,,,,,,,,,,
1114,68,,,,,,,,,,,,,,,,
1115,58,,,,,,,,,,,,,,,,
1116,64,,,,,,,,,,,,,,,,
1117,63,,,,,,,,,,,,,,,,
1118,51,,,,,,,,,,,,,,,,
1119,60,,,,,,,,,,,,,,,,
1120,54,,,,,,,,,,,,,,,,
1121,62,,,,,,,,,,,,,,,,
1122,58,,,,,,,,,,,,,,,,
1123,59,,,,,,,,,,,,,,,,
1124,53,,,,,,,,,,,,,,,,
1125,62,,,,,,,,,,,,,,,,
1126,56,,,,,,,,,,,,,,,,
1127,56,,,,,,,,,,,,,,,,
1128,44,,,,,,,,,,,,,,,,
1129,56,,,,,,,,,,,,,,,,
1130,60,,,,,,,,,,,,,,,,
1131,63,,,,,,,,,,,,,,,,
1132,56,,,,,,,,,,,,,,,,
1133,42,,,,,,,,,,,,,,,,
1134,63,,,,,,,,,,,,,,,,
1135,69,,,,,,,,,,,,,,,,
1136,51,,,,,,,,,,,,,,,,
1137,54,,,,,,,,,,,,,,,,
1138,55,,,,,,,,,,,,,,,,
1139,56,,,,,,,,,,,,,,,,
1140,70,,,,,,,,,,,,,,,,
1141,54,,,,,,,,,,,,,,,,
1142,67,,,,,,,,,,,,,,,,
1143,58,,,,,,,,,,,,,,,,
1144,68,,,,,,,,,,,,,,,,
1145,61,,,,,,,,,,,,,,,,
1146,63,,,,,,,,,,,,,,,,
1147,60,,,,,,,,,,,,,,,,
1148,67,,,,,,,,,,,,,,,,
1149,50,,,,,,,,,,,,,,,,
1150,58,,,,,,,,,,,,,,,,
1151,64,,,,,,,,,,,,,,,,
1152,62,,,,,,,,,,,,,,,,
1153,63,,,,,,,,,,,,,,,,
1154,65,,,,,,,,,,,,,,,,
1155,61,,,,,,,,,,,,,,,,
1156,64,,,,,,,,,,,,,,,,
1157,59,,,,,,,,,,,,,,,,
1158,75,,,,,,,,,,,,,,,,
1159,62,,,,,,,,,,,,,,,,
1160,51,,,,,,,,,,,,,,,,
1161,55,,,,,,,,,,,,,,,,
1162,63,,,,,,,,,,,,,,,,
1163,51,,,,,,,,,,,,,,,,
1164,59,,,,,,,,,,,,,,,,
1165,56,,,,,,,,,,,,,,,,
1166,55,,,,,,,,,,,,,,,,
1167,69,,,,,,,,,,,,,,,,
1168,60,,,,,,,,,,,,,,,,
1169,50,,,,,,,,,,,,,,,,
1170,59,,,,,,,,,,,,,,,,
1171,68,,,,,,,,,,,,,,,,
1172,59,,,,,,,,,,,,,,,,
1173,63,,,,,,,,,,,,,,,,
1174,66,,,,,,,,,,,,,,,,
1175,52,,,,,,,,,,,,,,,,
1176,68,,,,,,,,,,,,,,,,
1177,56,,,,,,,,,,,,,,,,
1178,60,,,,,,,,,,,,,,,,
1179,62,,,,,,,,,,,,,,,,
1180,50,,,,,,,,,,,,,,,,
1181,61,,,,,,,,,,,,,,,,
1182,51,,,,,,,,,,,,,,,,
1183,52,,,,,,,,,,,,,,,,
1184,55,,,,,,,,,,,,,,,,
1185,73,,,,,,,,,,,,,,,,
1186,62,,,,,,,,,,,,,,,,
1187,80,,,,,,,,,,,,,,,,
1188,66,,,,,,,,,,,,,,,,
1189,60,,,,,,,,,,,,,,,,
1190,56,,,,,,,,,,,,,,,,
1191,53,,,,,,,,,,,,,,,,
1192,62,,,,,,,,,,,,,,,,
1193,63,,,,,,,,,,,,,,,,
1194,64,,,,,,,,,,,,,,,,
1195,67,,,,,,,,,,,,,,,,
1196,70,,,,,,,,,,,,,,,,
1197,48,,,,,,,,,,,,,,,,
1198,68,,,,,,,,,,,,,,,,
1199,61,,,,,,,,,,,,,,,,
1200,66,,,,,,,,,,,,,,,,
1201,68,,,,,,,,,,,,,,,,
1202,53,,,,,,,,,,,,,,,,
1203,57,,,,,,,,,,,,,,,,
1204,52,,,,,,,,,,,,,,,,
1205,71,,,,,,,,,,,,,,,,
1206,64,,,,,,,,,,,,,,,,
1207,52,,,,,,,,,,,,,,,,
1208,59,,,,,,,,,,,,,,,,
1209,57,,,,,,,,,,,,,,,,
1210,48,,,,,,,,,,,,,,,,
1211,66,,,,,,,,,,,,,,,,
1212,58,,,,,,,,,,,,,,,,
1213,58,,,,,,,,,,,,,,,,
1214,56,,,,,,,,,,,,,,,,
1215,60,,,,,,,,,,,,,,,,
1216,70,,,,,,,,,,,,,,,,
1217,56,,,,,,,,,,,,,,,,
1218,60,,,,,,,,,,,,,,,,
1219,60,,,,,,,,,,,,,,,,
1220,52,,,,,,,,,,,,,,,,
1221,62,,,,,,,,,,,,,,,,
1222,63,,,,,,,,,,,,,,,,
1223,49,,,,,,,,,,,,,,,,
1224,56,,,,,,,,,,,,,,,,
1225,61,,,,,,,,,,,,,,,,
1226,63,,,,,,,,,,,,,,,,
1227,52,,,,,,,,,,,,,,,,
1228,59,,,,,,,,,,,,,,,,
1229,56,,,,,,,,,,,,,,,,
1230,61,,,,,,,,,,,,,,,,
1231,71,,,,,,,,,,,,,,,,
1232,49,,,,,,,,,,,,,,,,
1233,66,,,,,,,,,,,,,,,,
1234,50,,,,,,,,,,,,,,,,
1235,59,,,,,,,,,,,,,,,,
1236,57,,,,,,,,,,,,,,,,
1237,64,,,,,,,,,,,,,,,,
1238,48,,,,,,,,,,,,,,,,
1239,55,,,,,,,,,,,,,,,,
1240,55,,,,,,,,,,,,,,,,
1241,57,,,,,,,,,,,,,,,,
1242,53,,,,,,,,,,,,,,,,
1243,52,,,,,,,,,,,,,,,,
1244,79,,,,,,,,,,,,,,,,
1245,62,,,,,,,,,,,,,,,,
1246,45,,,,,,,,,,,,,,,,
1247,65,,,,,,,,,,,,,,,,
1248,64,,,,,,,,,,,,,,,,
1249,52,,,,,,,,,,,,,,,,
1250,47,,,,,,,,,,,,,,,,
1251,64,,,,,,,,,,,,,,,,
1252,52,,,,,,,,,,,,,,,,
1253,59,,,,,,,,,,,,,,,,
1254,51,,,,,,,,,,,,,,,,
1255,48,,,,,,,,,,,,,,,,
1256,54,,,,,,,,,,,,,,,,
1257,56,,,,,,,,,,,,,,,,
1258,69,,,,,,,,,,,,,,,,
1259,64,,,,,,,,,,,,,,,,
1260,60,,,,,,,,,,,,,,,,
1261,51,,,,,,,,,,,,,,,,
1262,60,,,,,,,,,,,,,,,,
1263,68,,,,,,,,,,,,,,,,
1264,56,,,,,,,,,,,,,,,,
1265,73,,,,,,,,,,,,,,,,
1266,51,,,,,,,,,,,,,,,,
1267,66,,,,,,,,,,,,,,,,
1268,59,,,,,,,,,,,,,,,,
1269,50,,,,,,,,,,,,,,,,
1270,58,,,,,,,,,,,,,,,,
1271,59,,,,,,,,,,,,,,,,
1272,60,,,,,,,,,,,,,,,,
1273,74,,,,,,,,,,,,,,,,
1274,57,,,,,,,,,,,,,,,,
1275,68,,,,,,,,,,,,,,,,
1276,59,,,,,,,,,,,,,,,,
1277,66,,,,,,,,,,,,,,,,
1278,70,,,,,,,,,,,,,,,,
1279,55,,,,,,,,,,,,,,,,
1280,64,,,,,,,,,,,,,,,,
1281,48,,,,,,,,,,,,,,,,
1282,62,,,,,,,,,,,,,,,,
1283,62,,,,,,,,,,,,,,,,
1284,54,,,,,,,,,,,,,,,,
1285,72,,,,,,,,,,,,,,,,
1286,64,,,,,,,,,,,,,,,,
1287,60,,,,,,,,,,,,,,,,
1288,69,,,,,,,,,,,,,,,,
1289,53,,,,,,,,,,,,,,,,
1290,51,,,,,,,,,,,,,,,,
1291,64,,,,,,,,,,,,,,,,
1292,58,,,,,,,,,,,,,,,,
1293,43,,,,,,,,,,,,,,,,
1294,48,,,,,,,,,,,,,,,,
1295,68,,,,,,,,,,,,,,,,
1296,53,,,,,,,,,,,,,,,,
1297,59,,,,,,,,,,,,,,,,
1298,59,,,,,,,,,,,,,,,,
1299,70,,,,,,,,,,,,,,,,
1300,52,,,,,,,,,,,,,,,,
1301,50,,,,,,,,,,,,,,,,
1302,52,,,,,,,,,,,,,,,,
1303,51,,,,,,,,,,,,,,,,
1304,67,,,,,,,,,,,,,,,,
1305,46,,,,,,,,,,,,,,,,
1306,57,,,,,,,,,,,,,,,,
1307,58,,,,,,,,,,,,,,,,
1308,67,,,,,,,,,,,,,,,,
1309,55,,,,,,,,,,,,,,,,
1310,59,,,,,,,,,,,,,,,,
1311,57,,,,,,,,,,,,,,,,
1312,61,,,,,,,,,,,,,,,,
1313,65,,,,,,,,,,,,,,,,
1314,46,,,,,,,,,,,,,,,,
1315,58,,,,,,,,,,,,,,,,
1316,60,,,,,,,,,,,,,,,,
1317,53,,,,,,,,,,,,,,,,
1318,57,,,,,,,,,,,,,,,,
1319,65,,,,,,,,,,,,,,,,
1320,56,,,,,,,,,,,,,,,,
1321,56,,,,,,,,,,,,,,,,
1322,42,,,,,,,,,,,,,,,,
1323,58,,,,,,,,,,,,,,,,
1324,59,,,,,,,,,,,,,,,,
1325,56,,,,,,,,,,,,,,,,
1326,62,,,,,,,,,,,,,,,,
1327,65,,,,,,,,,,,,,,,,
1328,63,,,,,,,,,,,,,,,,
1329,64,,,,,,,,,,,,,,,,
1330,59,,,,,,,,,,,,,,,,
1331,59,,,,,,,,,,,,,,,,
1332,43,,,,,,,,,,,,,,,,
1333,65,,,,,,,,,,,,,,,,
1334,57,,,,,,,,,,,,,,,,
1335,65,,,,,,,,,,,,,,,,
1336,60,,,,,,,,,,,,,,,,
1337,61,,,,,,,,,,,,,,,,
1338,66,,,,,,,,,,,,,,,,
1339,65,,,,,,,,,,,,,,,,
1340,59,,,,,,,,,,,,,,,,
1341,71,,,,,,,,,,,,,,,,
1342,57,,,,,,,,,,,,,,,,
1343,53,,,,,,,,,,,,,,,,
1344,64,,,,,,,,,,,,,,,,
1345,84,,,,,,,,,,,,,,,,
1346,70,,,,,,,,,,,,,,,,
1347,77,,,,,,,,,,,,,,,,
1348,61,,,,,,,,,,,,,,,,
1349,53,,,,,,,,,,,,,,,,
1350,59,,,,,,,,,,,,,,,,
1351,42,,,,,,,,,,,,,,,,
1352,55,,,,,,,,,,,,,,,,
1353,61,,,,,,,,,,,,,,,,
1354,75,,,,,,,,,,,,,,,,
1355,61,,,,,,,,,,,,,,,,
1356,56,,,,,,,,,,,,,,,,
1357,58,,,,,,,,,,,,,,,,
1358,52,,,,,,,,,,,,,,,,
1359,66,,,,,,,,,,,,,,,,
1360,71,,,,,,,,,,,,,,,,
1361,57,,,,,,,,,,,,,,,,
1362,67,,,,,,,,,,,,,,,,
1363,57,,,,,,,,,,,,,,,,
1364,56,,,,,,,,,,,,,,,,
1365,50,,,,,,,,,,,,,,,,
1366,45,,,,,,,,,,,,,,,,
1367,59,,,,,,,,,,,,,,,,
1368,76,,,,,,,,,,,,,,,,
1369,60,,,,,,,,,,,,,,,,
1370,48,,,,,,,,,,,,,,,,
1371,57,,,,,,,,,,,,,,,,
1372,63,,,,,,,,,,,,,,,,
1373,76,,,,,,,,,,,,,,,,
1374,57,,,,,,,,,,,,,,,,
1375,42,,,,,,,,,,,,,,,,
